Wall time,Step,Value
1687585077.2982516,168,4.85483980178833
1687585246.5320778,475,4.853499889373779
1687585289.4058363,537,4.853869915008545
1687585320.2796552,587,4.853489875793457
1687585851.3937857,1437,4.852099895477295
1687586036.0506992,1738,4.851210117340088
1687586391.8714209,2308,4.815080165863037
1687586441.4522996,2390,4.776760101318359
1687586499.9594946,2487,4.7900800704956055
1687586975.1888936,3247,4.7777299880981445
1687587736.644341,4493,4.67195987701416
1687588140.4774249,5135,4.762829780578613
1687588630.1566882,5908,4.665180206298828
1687589135.7679403,6712,4.715479850769043
1687589296.5304394,6967,4.6391801834106445
1687589612.1989107,7464,4.614729881286621
1687589826.7584224,7799,4.646440029144287
1687590759.6302166,9261,4.658130168914795
1687590900.4173892,9469,4.561190128326416
1687591496.264631,10400,4.530300140380859
1687591818.3998766,10906,4.682690143585205
1687591858.0385332,10967,4.62706995010376
1687592226.8213758,11533,4.635509967803955
1687592509.2867646,11970,4.6369500160217285
1687594023.8510246,14295,4.504590034484863
1687594274.0901825,14669,4.513150215148926
1687594343.5548093,14780,4.543230056762695
1687595241.2594526,16117,4.467790126800537
1687595736.4493582,16858,4.503009796142578
1687596198.965435,17544,4.4845499992370605
1687597623.1473987,19641,4.428309917449951
1687597917.7901578,20063,4.460219860076904
1687598248.0947707,20540,4.453539848327637
1687598278.300906,20579,4.44782018661499
1687598466.6232352,20856,4.364230155944824
1687598662.3871567,21145,4.277989864349365
1687598782.5711527,21320,4.440899848937988
1687599483.0172613,22331,4.390439987182617
1687600153.8100672,23287,4.521780014038086
1687600206.4379656,23362,4.416930198669434
1687600427.8013983,23671,4.414649963378906
1687600448.4429545,23702,4.35630989074707
1687600756.429509,24148,4.269589900970459
1687600877.9017813,24323,4.506470203399658
1687601164.6992135,24728,4.457920074462891
1687601545.0740578,25254,4.338230133056641
1687604219.947042,28971,4.402760028839111
1687604236.5419393,28997,4.433919906616211
1687604840.527159,29830,4.3374199867248535
1687605414.7292478,30613,4.325550079345703
1687605483.394383,30707,4.44644021987915
1687606025.1182647,31444,4.240119934082031
1687606391.9201047,31937,4.285699844360352
1687606762.531705,32436,4.317180156707764
1687607318.7498658,33182,4.360519886016846
1687607745.7421622,33750,4.306280136108398
1687607775.9821897,33786,4.229179859161377
1687607814.5864294,33840,4.529630184173584
1687607840.860178,33877,4.394989967346191
1687608329.2961144,34526,4.336979866027832
1687609407.4300098,35954,4.303440093994141
1687609919.9743948,36630,4.33188009262085
1687609940.1270468,36660,4.173210144042969
1687610574.554849,37490,4.276090145111084
1687610783.7340548,37765,4.431809902191162
1687610872.466696,37877,4.374949932098389
1687611517.9864268,38721,4.141389846801758
1687611614.013055,38841,4.241360187530518
1687611967.433119,39297,4.226739883422852
1687612279.284974,39703,4.175119876861572
1687613130.6342902,40794,4.27347993850708
1687613507.166212,41272,4.32036018371582
1687614466.683389,42469,4.120890140533447
1687615393.8391328,43640,4.246570110321045
1687615455.0883784,43712,4.2594099044799805
1687615681.0435765,43994,4.35338020324707
1687615844.988473,44201,4.210909843444824
1687615889.7696505,44252,4.319429874420166
1687616468.1934147,44965,4.242390155792236
1687616798.0584984,45373,4.293499946594238
1687617571.4610739,46335,4.216929912567139
1687617638.7137086,46414,4.115320205688477
1687618732.1430745,47745,4.261139869689941
1687618921.4771318,47971,4.087019920349121
1687619092.7797801,48182,4.185870170593262
1687620013.6949914,49273,4.275320053100586
1687620675.4640272,50057,4.095860004425049
1687621322.5821743,50820,4.187560081481934
1687621583.8478084,51135,4.073349952697754
1687621668.8753157,51228,4.23813009262085
1687622151.850725,51799,4.294380187988281
1687623100.4962168,52907,4.185009956359863
1687623265.2921567,53093,4.172080039978027
1687623586.6092367,53469,4.15378999710083
1687623930.3404162,53863,4.23675012588501
1687626258.1568234,56522,4.159850120544434
1687626525.137367,56821,4.180069923400879
1687628233.6129205,58747,3.9573700428009033
1687629513.903495,60180,4.112410068511963
1687629520.3154116,60186,4.080810070037842
1687629785.492961,60476,4.031760215759277
1687631302.6022105,62140,4.203750133514404
1687632708.7869935,63672,4.219870090484619
1687633488.4269786,64522,4.0040998458862305
1687634531.5139196,65644,4.019599914550781
1687635617.0446467,66788,3.997349977493286
1687635836.120619,67022,3.8791000843048096
1687636232.082701,67441,4.329170227050781
1687637888.6387,69186,4.104549884796143
1687638396.9344354,69720,4.246689796447754
1687639217.3302965,70581,4.115009784698486
1687639292.3648715,70657,4.178299903869629
1687640034.0227385,71429,3.9923200607299805
1687640492.804046,71907,4.027919769287109
1687640541.9608684,71958,4.042129993438721
1687640595.8179216,72013,4.083559989929199
1687641283.2747982,72724,4.003610134124756
1687641558.6341279,73010,4.273530006408691
1687644694.025963,76219,4.13362979888916
1687645367.8050852,76907,3.8869800567626953
1687646663.889756,78209,3.92795991897583
1687647367.1678169,78921,4.060210227966309
1687647417.7168195,78974,3.950779914855957
1687647454.5117612,79006,4.003900051116943
1687648830.259188,80391,3.9591898918151855
1687649049.7102456,80614,4.000870227813721
1687649438.1567082,80997,4.108089923858643
1687652967.792237,84410,3.791140079498291
1687653161.1917665,84602,3.804229974746704
1687653661.235529,85090,3.988450050354004
1687654618.0590086,86015,3.961009979248047
1687655400.636461,86781,3.9474599361419678
1687655492.618045,86866,3.7827200889587402
1687655641.9913666,87009,3.9768600463867188
1687656042.200637,87394,3.9125499725341797
1687656815.9500618,88138,3.9425699710845947
1687657381.766121,88675,3.973939895629883
1687658083.413274,89348,4.057240009307861
1687658100.0100298,89364,3.823740005493164
1687658739.7373507,89974,4.2118401527404785
1687659011.1401238,90238,3.8671700954437256
1687660464.3817685,91625,3.7790000438690186
1687660490.320097,91648,3.961359977722168
1687660984.1183524,92121,3.849989891052246
1687662394.854985,93472,3.9114699363708496
1687662847.5443645,93902,3.852060079574585
1687664052.34806,95058,4.171020030975342
1687664385.8404453,95378,3.944240093231201
1687664494.2272332,95481,3.8612899780273438
1687665351.324185,96302,4.032700061798096
1687667635.5722532,98475,4.034930229187012
1687668253.1156008,99056,3.880500078201294
1687669115.7792087,99885,3.7663700580596924
1687670144.8175795,100859,3.7892000675201416
1687670650.1169422,101336,4.009339809417725
1687671266.6389847,101924,4.08135986328125
1687671286.9877093,101944,3.728519916534424
1687672309.5623605,102912,3.8980600833892822
1687672366.5143507,102967,4.065529823303223
1687672403.0435877,103002,3.8393399715423584
1687673413.8066068,103948,3.883039951324463
1687673821.7912364,104335,3.9379398822784424
1687674412.5800803,104897,4.225259780883789
1687674444.308546,104925,4.108389854431152
1687675342.9744813,105775,3.8399200439453125
1687676183.0168772,106567,3.8172600269317627
1687677521.7041361,107838,4.056879997253418
1687678325.7606454,108587,3.7227699756622314
1687680062.9934342,110225,3.854520082473755
1687681232.5318136,111324,3.8207600116729736
1687681627.73247,111699,3.8574399948120117
1687682906.3640409,112903,3.7650399208068848
1687683810.055421,113742,3.994539976119995
1687685256.0106902,115097,3.9693100452423096
1687685699.991848,115519,4.011119842529297
1687686082.1328342,115879,4.093810081481934
1687686968.014971,116712,3.88919997215271
1687687044.647904,116784,3.9904398918151855
1687687329.9190474,117048,3.928380012512207
1687687950.969896,117636,3.838900089263916
1687688553.5986142,118191,3.8442399501800537
1687691755.6672661,121193,4.022429943084717
1687691756.004452,121194,3.6997499465942383
1687691908.25522,121333,3.9393200874328613
1687691980.0919929,121404,4.179619789123535
1687692442.190675,121836,3.9313299655914307
1687692848.944993,122206,3.788789987564087
1687693301.064567,122635,3.9361701011657715
1687696173.4750595,125291,4.084929943084717
1687700487.3361962,129319,3.9433999061584473
1687700581.2126627,129407,3.7825000286102295
1687701295.8496435,130072,3.8979899883270264
1687703025.745652,131681,3.896549940109253
1687703238.9437675,131877,3.7913999557495117
1687705937.1870694,134377,3.7785000801086426
1687705948.6616817,134390,4.083380222320557
1687706042.2388513,134475,3.7509400844573975
1687706474.1055694,134878,3.98186993598938
1687707270.5259035,135616,3.765310049057007
1687708416.9392087,136674,3.791029930114746
